article_id,author,category,number_of_comments,timestamp,title
478090,هسبريس من الرباط,orbites,(4),الثلاثاء 14 يوليوز 2020 - 19:45,الملك يشيد بكفاءة الراحل إبراهيم أبو بكر حركات
478044,هسبريس - أمال كنين,orbites,(6),الثلاثاء 14 يوليوز 2020 - 17:20,‪سفارة إسبانيا تعلن رحلتين جديدتين لإجلاء العالقين
478095,هسبريس من الرباط,orbites,(56),الثلاثاء 14 يوليوز 2020 - 20:25,الملك يقرر تأجيل جميع أنشطة واحتفالات الذكرى الـ21 لعيد العرش
478139,هسبريس من الرباط,orbites,(0),الأربعاء 15 يوليوز 2020 - 22:20,"مؤتمر ""فقه الطوارئ"" يناقش ما بعد تفشي كورونا"
478063,إدريس لكريني*,orbites,(13),الأربعاء 15 يوليوز 2020 - 03:00,بين المِحنة والمِنحة .. الجائحة تسائل الاستثمار في التعليم عن بُعد
478111,ميلود بلقاضي*,orbites,(52),الأربعاء 15 يوليوز 2020 - 07:00,"نسبة المشاركة وثقة الناخبين .. ""مسامير"" تطرق رأس الدولة والأحزاب"
478210,هسبريس - عبد الرحيم العسري,orbites,(51),الأربعاء 15 يوليوز 2020 - 21:00,"مزاعم برنامج تجسس إسرائيلي .. الرميد يردّ على ""نيران صديقة"""
478258,هسبريس من الرباط,orbites,(18),السبت 18 يوليوز 2020 - 06:00,"تجديد النّخب وتجاوز الأزمة .. رهانات الدّولة في ""تشريعيات 2021""‬"
478254,هسبريس من الرباط,orbites,(1),الخميس 16 يوليوز 2020 - 11:55,مسابقة علمية تخلق التنافس بين طلبة العلوم القانونية
478117,إبراهيم مشطاط*,orbites,(13),السبت 18 يوليوز 2020 - 05:30,كتاب جديد يستحضر الواقع والآفاق في العلاقات المغربية الصينية
478278,هسبريس من الرباط,orbites,(2),الخميس 16 يوليوز 2020 - 18:13,"""الجامعة الصيفية عن بعد"" بوجدة تناقش ""الرقمنة"""
478628,هسبريس - أمال كنين,art-et-culture,(8),الاثنين 20 يوليوز 2020 - 14:32,حكاية المراية .. سعيدة فكري تتألق في أغنية جديدة
478586,إبراهيم مغراوي من مراكش,art-et-culture,(10),الاثنين 20 يوليوز 2020 - 08:15,"كتاب يطرح نموذجا لبناء مغرب ما بعد ""كورونا"""
478265,هسبريس من الرباط,orbites,(137),الجمعة 17 يوليوز 2020 - 04:00,"هذه أسباب ""ضعف"" مستوى التلاميذ في مادة الرياضيات‬ بالباكالوريا"
478321,هسبريس من الرباط,orbites,(128),الجمعة 17 يوليوز 2020 - 09:00,صور قواعد وتجمعات عسكرية على الحدود تثير انزعاج الجزائر
478705,رشيد الكويرتي من فاس,faits-divers,(1),الثلاثاء 21 يوليوز 2020 - 07:15,"انتشال جثة أربعيني مفقود في ""واد سبو"" بصفرو"
478064,هسبريس - عبد السلام الشامخ,politique,(31),الأربعاء 15 يوليوز 2020 - 06:00,دبلوماسية المملكة تحاول رأب الصدع بين الأطراف المتصارعة بمالي
