article_id,author,category,number_of_comments,timestamp,title,article_link
476680,هسبريس من الرباط,medias,1,الأربعاء 01 يوليوز 2020 - 21:05,المركز المغربي للكرتون يبدأ محاربة الأخبار الزائفة,https://www.hespress.com/medias/476680.html
476693,هسبريس من الرباط,medias,8,الأربعاء 01 يوليوز 2020 - 15:00,دلمي: جمعية الناشرين تواجه الأصوات المتشنجة بالترافع عن المهنة‎,https://www.hespress.com/medias/476693.html
476631,هسبريس من الرباط,medias,25,الثلاثاء 30 يونيو 2020 - 22:00,رصيف الصحافة: سب عامل تارودانت يجر رئيس جماعة إلى الحبس,https://www.hespress.com/medias/476631.html
483255,هسبريس من الرباط,faits-divers,4,الأحد 06 شتنبر 2020 - 00:20,مئات الأقراص المخدرة تورّط شخصين بمدينة تمارة,https://www.hespress.com/faits-divers/483255.html
483769,رشيد بيجيكن من أكادير ,regions,1,الجمعة 11 شتنبر 2020 - 05:06,"""أطر العدل"" يستفيدون من تحاليل ""كورونا"" بأكادير",https://www.hespress.com/regions/483769.html
483755,رشيد بيجيكن من أكادير,regions,26,الجمعة 11 شتنبر 2020 - 07:51,"مطالب بالتحقيق في ""خروقات"" التوجيه في طاطا",https://www.hespress.com/regions/483755.html
483792,أيوب صدور من تطوان,regions,0,الجمعة 11 شتنبر 2020 - 13:25,"تطبيق ووقاية يرافقان ""امتحان العلوم"" في تطوان",https://www.hespress.com/regions/483792.html
483732,محمد ايت حساين,regions,3,الجمعة 11 شتنبر 2020 - 08:35,"إجراءات جديدة بتنغير بعد ارتفاع ""مصابي كورونا""",https://www.hespress.com/regions/483732.html
483785,هسبريس - أمال كنين,regions,0,الجمعة 11 شتنبر 2020 - 14:45,رحلة بحرية جديدة تربط طنجة بالجزيرة الخضراء,https://www.hespress.com/regions/483785.html
476664,هسبريس من الرباط,medias,3,الأربعاء 01 يوليوز 2020 - 22:10,"""مجلة الشرطة"" تبرز انفتاح وتواصل المديرية العامة",https://www.hespress.com/medias/476664.html
476812,هسبريس من الرباط,medias,62,الخميس 02 يوليوز 2020 - 17:50,"منع الصحافي بلهايسي من الشاشة يجر انتقادات على قناة ""ميدي 1""",https://www.hespress.com/medias/476812.html
476745,هسبريس من الرباط,medias,24,الأربعاء 01 يوليوز 2020 - 22:00,"رصيف الصحافة: جدل صفقة ""اختبارات كورونا"" يصل إلى البرلمان",https://www.hespress.com/medias/476745.html
483805,صالح الخزاعي من خريبكة,regions,6,الجمعة 11 شتنبر 2020 - 15:19,"""كوفيد 19"" يصيب طبيبا في ""مستعجلات خريبكة""",https://www.hespress.com/regions/483805.html
