,article_id,author,category,number_of_comments,timestamp,title,article_link
0,483484,هسبريس من الرباط,societe,1,2020-09-08 03:39:00,"جمعية آباء بـ""معهد الطائرات"" تلغي واجب الانخراط‎",https://www.hespress.com/societe/483484.html
1,483387,أيوب صدور من تطوان,societe,24,2020-09-08 04:00:00,"""نقابة مستقلة"" تستعد لجمع شمل ممرضي وتقنيي الصحة بالمغرب",https://www.hespress.com/societe/483387.html
2,483419,هسبريس من الرباط (كاريكاتير: عماد السنوني),societe,80,2020-09-08 10:00:00,"""قرارات الليل"" المفاجئة للحكومة تجلب غضب آلاف الأسر المغربية",https://www.hespress.com/societe/483419.html
3,483439,هسبريس ـ محمد لديب (كاريكاتير: مبارك بوعلي),societe,72,2020-09-08 12:00:00,"""التعليم عن بعد"" يفاقم مشاكل الأداء بين الآباء والمدارس الخاصة",https://www.hespress.com/societe/483439.html
4,483680,عبد الكريم هرواش من الناظور,regions,4,2020-09-10 08:10:00,"ممرّضون يحتجّون للمطالبة بـ""الترقية الاستثنائية""",https://www.hespress.com/regions/483680.html
5,483446,هسبريس من الرباط,societe,102,2020-09-08 09:40:00,أستاذ يستقبل تلاميذه بهدايا ووسائل تنظيف وتعقيم,https://www.hespress.com/societe/483446.html
6,482763,هسبريس من الرباط,economie,26,2020-08-31 14:05:00,البنك الأوروبي للاستثمار يدعم المغرب ضد الجائحة,https://www.hespress.com/economie/482763.html
7,483667,محمد ايت حساين,regions,5,2020-09-10 11:20:00,مختبر متنقل يرفع وتيرة التحاليل اليومية بإقليم تنغير,https://www.hespress.com/regions/483667.html
8,483512,هسبريس - أمال كنين,societe,31,2020-09-08 14:00:00,"حركة الممرضين: مئات الإصابات بـ""كوفيد-19"" بين الأطر الصحية",https://www.hespress.com/societe/483512.html
9,476694,هسبريس من الرباط,marocains-du-monde,35,2020-07-02 08:35:00,"""مرصد الشمال"" ينتقد إلغاء الحكومة ""عملية مرحبا""",https://www.hespress.com/marocains-du-monde/476694.html
10,476689,هسبريس من الرباط,marocains-du-monde,62,2020-07-02 09:00:00,استمرار إغلاق الحدود الجوية يعمق معاناة مغاربة عالقين في الجزائر‎,https://www.hespress.com/marocains-du-monde/476689.html
11,482756,هسبريس من الرباط,economie,50,2020-08-31 14:00:00,"أرباب المقاهي والمطاعم يستنجدون بالداخلية ضد ""تعسّفات المراقبة""",https://www.hespress.com/economie/482756.html
12,483727,هسبريس من الرباط,societe,34,2020-09-10 15:25:00,حموشي يرقي أمنيا أصيب خلال تفكيك خلية إرهابية,https://www.hespress.com/societe/483727.html
13,483855,هسبريس من تنغير,regions,2,2020-09-12 10:35:00,"دوريات أمنية تراقب ""إجراءات الجائحة"" في تنغير",https://www.hespress.com/regions/483855.html
14,483733,هسبريس من الرباط,societe,54,2020-09-10 18:00:00,المغرب يسجل 1889 إصابة جديدة مؤكدة بكورونا خلال 24 ساعة,https://www.hespress.com/societe/483733.html
15,476786,هسبريس من الرباط,art-et-culture,0,2020-07-02 20:30:00,كلية سلا تعلن عن الفائزين بمسابقات فنية عن بُعد‎,https://www.hespress.com/art-et-culture/476786.html
16,477352,هسبريس - وائل بورشاشن,marocains-du-monde,11,2020-07-07 18:10:00,قنصلية المغرب بدبي تستصدر تأشيرة لعائلة عالقة,https://www.hespress.com/marocains-du-monde/477352.html
