,article_id,comment_number,comment_content,comment_author,comment_timestamp
0,250261,114861,حيت لقات غير الشمايت قدامها,مول الزرواطة,2020-08-26 14:20:07+01:00
1,245549,112917,إن شاء الله الإفلاس لهذه الشركة الرأسمالية ، اللتي تستعبد الموظفين,بوركابي,2020-07-30 18:04:51+01:00
2,245549,112925,بعدها يمشيوا يخدموا في المعمل ديال الباك آ بوركابي رقم1 …التخلف,غير معروف,2020-07-30 19:29:13+01:00
3,208768,96561,كاتب المقال قال لنا “شاهد”. لكننا لم نشاهد شيئا، بل قرئنا فقط,يوسف,2020-02-06 18:03:22+01:00
4,253566,116559,دائما الخائن يخاف الإعدام ويكرهه,حسن,2020-09-13 10:34:04+01:00
5,253566,116564,احسن ما سمعت من المثقفين المغاربة لقد جاوبت ووفيتي جزاك الله خيرا اخي . يجب على المغاربة أن يتوحدوا على كلمة واحدة على هولاء المزابل و أن يحاكمونهم عن دفاعهم للجرائم آلتي تقع في بلادنا . تنتظر من محامينا وقضاتنا وجمعياتنا أن يتقدمون بشكايات ضد هؤلاء الزمرة من الجراثيم ومحاكمتهم فالشعب يريد محاكمة هؤلاء الانجاس القذرة,نور,2020-09-13 10:52:28+01:00
6,253566,116572,نعم أستاذي الفاضل ونحن نساند ما قلته في حق هذا الإنسان الخبيث. حبذا لو أطلقنا دعوة جماعية ليحاكم هذا الفيروس ويرمى في ظلمات السجن ونرتاح من خبثه.,سعيد المغربي,2020-09-13 11:23:46+01:00
7,253566,116576,الاستاد عصيد لم يدافع عن المجرم المغتصب العكس هو تكلم عن الاعدام وتوجد عقوبة أشد من الاعدام,غير معروف,2020-09-13 11:37:08+01:00
8,253566,116588,جزاك الله خيرا يا سيدي على هذا المقال الجيد. صدقت و أبدعت و اثلجت القلوب.,ali,2020-09-13 12:34:59+01:00
9,253566,116591,الله يجازيك اسي الكنبوري تحية تقدير واحترام لك,Omar,2020-09-13 12:57:38+01:00
10,253566,116608,الله يعطيك الصحة عط العصير للسفيه.ودعاء مستجاب ان شاء الله.كلنا عدنان .رحم الله ابننا ورزق والديه الصبر.وعزاؤنا واحد وانا لله وانا اليه راجعون.,ا ب,2020-09-13 14:16:17+01:00
11,253566,116624,رحم الله الشيخ القزابري في الدنيا والاخرة : ( إن الاسلام يرعى حرمات من يرعون الحرمات.. ويشدد في هذا المبدأ ويصونه.. ولكنه لا يسمح بأن تتخذ الحرمات متاريس لمن ينتهكون الحرمات.. ويؤذون خلق الله.. ويقتلون عباد الله.. ويرتكبون كل منكر وهم في منجاة من القصاص تحت ستار الحرمات التي يجب أن تصان..لقد قال لنا العليم الحكيم..اللطيف الخبير.. ( ولكم في القصاص حياة يا أولي الألباب لعلكم تتقون..).,rabatage,2020-09-13 15:24:09+01:00
12,253566,116627,النقاش بالعقل والتحليل وليس بالمقت و  الكراهية,الشمقمق,2020-09-13 15:59:14+01:00
13,253566,116630,لا أدري ما سبب هذا التفنن في إلقاء التهم والتوبيخ رغم أن ما قاله عصيد شيء عادي هو لم يتعاطف مع المجرم بل يحاول رفض أن الجميع يريد تطبيق (الشرع )في المجرم . ربما نار الحقد لم تترك المجال لهؤلاء حتى لقراءة ما كتبه عصيد,مصطفى,2020-09-13 16:18:25+01:00
14,253566,116634,الى مزبلة التاريخ لعصيد وامثاله,Rifi,2020-09-13 16:47:34+01:00
15,253566,116635,انا لا اشاطر راي الاستاذ عصيد اطلاقا ، وقد اوافقك الراي يا دكتور ، لكنني اقول بان تهجمك وتجنيك عليه بنعته باقبح النعوت لمجرد اختلافه الراي معك ، قد افقدك الموضوعية ، لان اساس الحوار هو الاحترام مهما اختلفت الاراء.,ادريس الحراق,2020-09-13 16:59:46+01:00
16,253566,116636,اساتاذى الكنوبري بقيت بالشتم والسب لكن بدون ان تفنعنا بادلة والحواب المقنع والدلاءل بقيت متهطعاطفا مباقى المغاربة كنت اتمنى ان ترد على هولاء بالدلاءل والقران والسنة وبالعلم وليس الستم والسب,سعيد اليمانى,2020-09-13 17:09:38+01:00
17,253566,116645,شكرا للاستاد الكنبوري,مغربية ١,2020-09-13 19:31:36+01:00
18,253566,116647,هذا كلام سوقي وسب وقذف لا يرقى الى مستوى خطاب يكمل افكار او طروحات يمكن مناقشتها .,متتبع,2020-09-13 20:08:37+01:00
19,253566,116651,هل قتل نفس بريئة بوحشية و اغتصاب براءة طفل لاتستحق انزال أشد العقوبات على منفدها؟؟؟ أيستحق القاتل الرحمة و اعفائه من الحكم بالإعدام رغم أنه لم يرحم طفلا صغيرا و عذبه واغتصبه وقتله بوحشية مع سبق الاصرار والترصد ؟؟ المغاربة يأستاد عصيد لم يطلبوا سوى تنفيد القانون الدي ينص على الاعدام .فعن أي وحشية تتحدت يأستاد عصيد فهل عن القانون أم من يطالب بتطبيقه؟؟ المشكل يسي عصيد ايديولوجي و فكر اقصائي و عنصري تدافعون عنه و تسوقون له و تعملون على نشره داخل المجتمع المغربي وتستقوي بمنظمات أجنبية و منابر اعلامية موالية .,عاشق العدل,2020-09-13 20:45:29+01:00
20,253566,116661,tu ressembles a abou jahl assid a raison nous devons etre civilise et non ressembler a  ces crimininelles  malheureusement tu en fait partie kanbouri toi et aboujahl no defirence,غير معروف,2020-09-13 23:22:27+01:00
21,253570,116567,يبقى دور المربين والآباء لحث أبنائهم على عدم التحدث مع الغرباء في الشارع مهما كانت الأسباب وأن لايجيبوهم إن سألوهم عن حي أو مسجد أو أي مكان آخر وعلى الآباء أن يوصوا أطفالهم على أن لايمشوا منفردين في الشارع بل يمشون برفقة أصدقائهم كما على الآباء مرة مرة مراقبة أبنائهم عند الاشتغال بالهاتف أو بالحاسوب حتى لايسقطوا في المواقع المحظورة ومواقع النصابين.,بلكبير,2020-09-13 11:08:51+01:00
22,253570,116583,ماذا يفعل طفل قاصر بهاتف، هل يستعمله في البيع والشراء!  ممنوع الهاتف للقصر.  ويجب استنطاق كل من تورط في الإغتصاب لفهم سلوكيات هذه الفئة قصد الحد من استفحال هذه الظاهرة.,مراد,2020-09-13 12:08:55+01:00
23,253570,116629,يجيب الاعدام لهد الوحوش المكبوتين اللي مولفين اغتاصبو الاطفال في كل يوم نسمع ان اطفال والشباب يتحرون  في شجر او في المنزيل اواو يجيب البحث العميق اضن ان هد الوحوش اغتاصبو وعلقوه في شجرة او في اي مكان ويقولون انه انتحر والوحش اللي اغتاصب وقتل الطفل عدنان يمكن في المدينة او القرية اللي يقطن فيها يوجدون  مجموعة  من الضحاياه والله واعلم  ويجيب الاعدام ثم الاعدام  لهد الوحوش للحد من مثل هد الجرائيم اللي كترت في البلاد .,faty اسبانيا,2020-09-13 16:10:47+01:00
24,208781,96569,ما هذا المستوى…,سعيد,2020-02-06 19:01:44+01:00
25,208781,96594,السلام عليكم .يجب عليها ان تزور الطبيب لاجراء فحوصات على الراس لان في مثل هذه الحالة قد يكون هذا الخاتم الذي بقية في انفها كل هذه المدة قد يكون بعض الامراض.وبالاخص مرض السرطان,فاعل خير,2020-02-06 23:26:27+01:00
26,208781,96596,ولم يحدث لها أي مشكل صحي طوال هذه الفترة!؟,صوفيا,2020-02-06 23:39:33+01:00
27,249143,114274,هذا القرار صائب لانه مدرب كبير,عبدالله,2020-08-19 09:12:23+01:00
28,239073,109986,Bravo,Nada,2020-06-25 11:41:38+01:00
29,239073,109989,سلام .لم افهم كلمات فاص افاص هل  هي مسطلح عربى جديد او لغة هب بريس التى اكن لها كل احترامى.,متابع هيب بريس,2020-06-25 12:13:47+01:00
30,239073,109992,كلام في الصميم أحسنت.  Bravo 2,متتبع,2020-06-25 12:42:15+01:00
31,239073,109999,مقال في المستوى.,غير معروف,2020-06-25 14:23:29+01:00
32,239073,110011,bien dit,fachkal,2020-06-25 16:11:22+01:00
33,239073,110016,Bravo 3,عابرة,2020-06-25 16:52:59+01:00
34,239073,110312,عجبني المقال,رشيده,2020-06-28 19:58:13+01:00
35,250095,114729,وماذا عن عائلاتهم ووالديهم واقاربهم ومن خالطوهم,السلطان,2020-08-24 18:21:45+01:00
36,250218,114784,قالوا لنا :مصلحة الأندية لا تقتضي الإنتظار خصوصا وأن المسؤولين عنها التزموا بالتقيد بالتعليمات و و و .,محمد,2020-08-25 15:51:12+01:00
37,250243,114792,ازعيتر اتبارك الله رباضي اصحيح كيتقن المهمة اديالو على احسن مايرام لقد اليا شرف المغرب والمغاربة في هده الرياضة  فكل المغاربة صراحة   يتكلمون عن قوته الفريدة خصوصا حين التقاءه بمنافسيه.,اليازيدي محمد,2020-08-25 17:43:11+01:00
38,250328,114844,هل ميسي قضى 29 عام ببرشلونة؟؟؟؟؟؟؟!!!!!!!!!!!!!!,مغربي ساخط عن مستوى الجريدة,2020-08-26 11:05:16+01:00
39,250328,114850,شكرا على المعلومة,مغربي,2020-08-26 11:45:15+01:00
40,250328,114859,الماء والشطابة وحتى الكراطة,Chef,2020-08-26 13:27:23+01:00
41,250305,114804,ولاو  عندنا  جوج  معضلات  : كورونا  و  ميسي  !!!!!  و الله عيب هادشي,مغربي,2020-08-25 20:22:12+01:00
42,250305,114815,البرغوث?,غير معروف,2020-08-25 22:52:26+01:00
43,250305,114838,هنيئا لفريق النادي برحيلك حيث سيعرف النادي ابطاله الحقيقيين المقبرين في عهدك معهم كما انك ستعرف مستواك الكروي الحقيقي,عبيد,2020-08-26 09:18:17+01:00
