article_id,author,category,number_of_comments,timestamp,title
477814,هسبريس من الرباط,politique,6,الأحد 12 يوليوز 2020 - 11:10,"المصادقة على الجزء الأول من ""المالية المعدّلة"""
477898,هسبريس من الرباط,politique,8,الأحد 12 يوليوز 2020 - 23:05,عبد اللطيف وهبي يعقد لقاءين حزبيين بتازة والناظور‎
477941,هسبريس - محمد بلقاسم,politique,21,الاثنين 13 يوليوز 2020 - 17:00,المعارضة تتهم الحكومة بالارتباك والارتجالية في تدبير أزمة كورونا
478014,هسبريس من الرباط,politique,5,الاثنين 13 يوليوز 2020 - 23:30,"مجلس النواب يصادق على ""قانون المالية المعدل"""
477976,هسبريس - محمد بلقاسم,politique,79,الاثنين 13 يوليوز 2020 - 23:00,"أخنوش ينتقد تشويش نواب ""البيجيدي"" على مخطط المغرب الأخضر"
478230,محمد بنعزيز,art-et-culture,4,الجمعة 17 يوليوز 2020 - 03:00,"فيلم ""المهاجر"" ليوسف شاهين .. سيرة فتى يرى مصر بنظرة ""برانية"""
477952,هسبريس - محمد بلقاسم,politique,64,الاثنين 13 يوليوز 2020 - 19:00,"دعم الوزير ""التكنوقراطي"" بنشعبون يقسم ""الأحرار"" بمجلس النواب"
477936,هسبريس - محمد بلقاسم,politique,44,الاثنين 13 يوليوز 2020 - 14:00,"""البيجيدي"" يرفض التمييز بين الوزراء وربط الإخفاقات بأداء الحكومة"
477946,هسبريس من الرباط,politique,134,الاثنين 13 يوليوز 2020 - 20:00,"الرئيس الجزائري يحصرُ نزاع الصحراء بين المغرب و""البوليساريو"""
475060,هسبريس - وائل بورشاشن,marocains-du-monde,41,الأربعاء 17 يونيو 2020 - 06:00,"مغاربة عالقون ينتقدون غموض ""برنامج الترحيل"" وتناقض الحكومة"
475167,هسبريس - نورالدين إكجان,marocains-du-monde,42,الأربعاء 17 يونيو 2020 - 19:00,"ملف مقتل ""فلويد المغربي"" يصل إلى مكتب رئيس الحكومة الإسبانية"
475125,هسبريس من الرباط,marocains-du-monde,12,الأربعاء 17 يونيو 2020 - 11:15,الوفي ترأس اجتماع رقمنة الخدمات الموجّهة للجالية
475023,هسبريس من الرباط,marocains-du-monde,25,الثلاثاء 16 يونيو 2020 - 14:05,رفع وتيرة ترحيل مغاربة عالقين في تركيا بـ15 رحلة
