article_id,author,category,number_of_comments,timestamp,title
479299,فؤاد طباق من سيدي سليمان,faits-divers,23,الأحد 26 يوليوز 2020 - 18:00,الكمامات تجر 202 إلى متابعات في سيدي سليمان
479259,حميد رزقي,faits-divers,0,الأحد 26 يوليوز 2020 - 05:08,انتشال جثة شاب من قناة مائية بنواحي إقليم أزيلال
479287,هسبريس من خريبكة,faits-divers,14,الأحد 26 يوليوز 2020 - 15:19,"احتجاج مواطنين يكشف ""شبكة للدعارة"" في خريبكة"
479314,هسبريس من الرباط,faits-divers,7,الأحد 26 يوليوز 2020 - 16:00,البحرية الملكية تجهض عملية تهريب دوليّ للمخدرات
479341,هسبريس من الرباط,faits-divers,2,الأحد 26 يوليوز 2020 - 22:39,رصاص مفتش شرطة يوقف جانحيْن في مكناس‎
479495,إبراهيم مغراوي من مراكش,faits-divers,0,الثلاثاء 28 يوليوز 2020 - 12:55,أمن مراكش يوقف مروج مخدرات في محيط فندق
479446,هسبريس من الرباط,faits-divers,19,الاثنين 27 يوليوز 2020 - 20:25,"أمن البيضاء ينفي وجود عصابات بـ""أولاد زيان"""
479541,رشيد الكويرتي من مكناس,faits-divers,0,الأربعاء 29 يوليوز 2020 - 02:20,سرقة السيارات توقع عصابة في قبضة الشرطة
479420,مصطفى البكار من تزنيت,faits-divers,5,الثلاثاء 28 يوليوز 2020 - 04:55,"درك تزنيت يعتقل ""زعيم الفراقشية"" بجهة سوس"
479406,إبراهيم الحافظون من سطات,faits-divers,4,الثلاثاء 28 يوليوز 2020 - 02:33,شرطة ابن أحمد تفكك عصابة مختصة في السرقة
479571,هسبريس من تاونات,faits-divers,3,الثلاثاء 28 يوليوز 2020 - 23:55,الوقاية المدنية تنتشل جثة من حقينة سد الوحدة
479332,هسبريس من تطوان,faits-divers,2,الاثنين 27 يوليوز 2020 - 00:17,الشرطة توقف مروج مخدرات إسباني بمدخل تطوان‎
478411,هسبريس من الرباط,marocains-du-monde,9,السبت 18 يوليوز 2020 - 10:44,عائلات تدعو إلى إرجاع طلبة مغاربة من السنغال‎
479429,هسبريس من أكادير,faits-divers,42,الاثنين 27 يوليوز 2020 - 18:05,"السجن النافذ لشاب وشقيقته في قضية ""زنا محارم"""
478691,هسبريس من الدارالبيضاء,medias,23,الاثنين 20 يوليوز 2020 - 17:50,القاضي يستمع للريسوني ساعات .. والصحافي يرفض الاتهامات
478883,هسبريس من الرباط,medias,2,الخميس 23 يوليوز 2020 - 01:30,"مجلة القوات المسلحة تَبْسط جهد مواجهة ""كورونا"""
